,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
CELL,Adrenergic,Adrn_Cortex,Adrenergic,Adrenergic,Macrophage_TAM,Adrenergic,Adrenergic,Fibroblast,Fibroblast,T_Cell,Adrenergic,Endothelial,B_Cell,NK_Cell,unknown
0,GRIK2,DPP10,CHGB,TUBB,CD74,GRIK2,TOP2A,COL1A1,COL1A1,CD3E,CHGB,PECAM1,CD74,CCR2,NR4A3
1,ALCAM,CREG2,L1CAM,PHOX2B,HLA-DRA,SYN3,MKI67,VIM,VIM,CD247,SYN3,VIM,CD79A,NCR1,CHGB
2,SYN3,CYP11B2,GRIK2,PRPH,MPEG1,IL7,GATA3,THBS1,PDGFRB,HLA-A,GRIK2,CDH5,MS4A1,TBX21,MAP1B
3,GATA3,MYOM1,ENO2,MAP1B,C1QC,CNTN1,ENO2,EPAS1,THBS1,HLA-B,MAP7,EPAS1,HLA-DRA,CALN1,L1CAM
4,CNTN1,PROM1,ALK,CHGB,SAT1,ENO2,PHOX2B,PDGFRB,EPAS1,DOCK2,ENO2,HLA-A,CD22,RORC,ALCAM
5,NCAM2,NRG3,RTN3,KRT19,CD4,ALCAM,TUBB,VCAN,FN1,PTPRC,ALCAM,A2M,PAX5,L1CAM,NCAM1
6,BMPR1B,CD68,IL7,H3-3B,HLA-A,L1CAM,RTN3,ACTA2,THY1,IL7R,MAGI2,PDLIM1,BANK1,CHGB,PCDH17
7,NCAM1,PKIB,CNTN1,GAP43,CSF1R,GATA3,MAP1B,THY1,FNDC3B,LEF1,NCAM1,COL15A1,INPP5D,CNTN1,CNTN1
8,PHOX2B,LRRTM4,MAP1B,GATA3,CD14,ALK,GRIK2,FN1,EGR1,THEMIS,CNTN1,ETS2,DOCK2,IL7,KRT19
9,CHGB,GULP1,KCND2,TUBA1A,INPP5D,PTPRN2,RRM2,CRISPLD2,MCAM,INPP5D,CTNNA2,HLA-B,CD19,MARCHF11,PHOX2B
10,PRPH,SV2C,PRKCA,STMN1,A2M,MAGI2,NCAM1,PDLIM1,CRISPLD2,CD2,KCNQ5,PALM2AKAP2,HLA-A,RTN3,SYN3
11,L1CAM,CALCB,NCAM1,ENO2,HLA-B,CHGB,CHGB,FNDC3B,VCAN,NFATC2,L1CAM,ADAMTS9,CD40,KCNQ5,ALK
12,ALK,ALB,ALCAM,L1CAM,DOCK2,LINGO2,KRT19,EGR1,PDLIM1,CXCR4,PTPRN2,NES,HLA-B,PTPRN2,PRPH
13,GAP43,CD33,PHOX2B,ALCAM,RBM47,CTNNA2,STMN1,FKBP10,MMP14,VIM,PRPH,MCAM,CD83,BANK1,KIF21A
14,IL7,ADCYAP1,PTPRN2,ACLY,VIM,DSCAM,PCDH17,PAPSS2,ACTA2,HLA-C,BMPR1B,WWTR1,MPEG1,ENOX1,PPP2R2B
15,PCDH17,IGHG1,TERT,PCDH17,ICAM1,SLC8A1,PRKCA,MMP14,FKBP10,RIPOR2,SNRPN,EMP1,CXCR4,NCAM1,GAP43
16,ENO2,KCNH5,TENM1,TUBB2B,NFATC2,NCAM2,ALK,PALM2AKAP2,PALM2AKAP2,CD74,MBNL2,CD74,FCHSD2,CD244,EBF1
17,CTNNA2,CD3G,SYN3,PRKCA,IL6R,NCAM1,ACLY,SERPINE1,PAPSS2,ARHGAP15,KCND2,FOSL2,RIPOR2,KIT,KCND2
18,MAP1B,CRH,MARCHF11,RTN3,ITGAX,ZFHX3,ZFHX3,MCAM,FOS,RHOH,LONRF2,FNDC3B,RHOH,GRIK2,GATA3
19,ZFHX3,FRMD4B,KIF21A,NCAM1,SRGN,KCNMA1,L1CAM,C3,PLSCR1,CD3D,GATA3,IL3RA,NFATC2,ELAVL4,ENO2
