,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,CHGB,SYN3,COL1A1,TUBB,CYP11B2,GATA3,CD74,CD3E,CHGB,COL1A1,VIM,BANK1,CD74,MS4A1,PECAM1,ARHGAP36,PDCD1,IL2RA,CCR2,OSBPL3,PRSS12,NTRK2,GRAMD1B,LMNA,FHIT
1,ENO2,GRIK2,VIM,H3-3B,MYOM1,PHOX2B,C1QC,HLA-A,L1CAM,VIM,PECAM1,LINGO1,HLA-DRA,CD79A,PCSK6,SPP1,FOXP3,CD274,IGHG1,RGS5,CREB5,CALCA,LRRTM4,SLC2A3,GRIK2
2,MAP1B,GATA3,THBS1,PRPH,CD3G,ENO2,HLA-DRA,CD247,GRIK2,THBS1,EPAS1,CD244,MPEG1,CD22,CDH5,PPP2R2C,COL1A1,ELL2,CD68,CYP11B2,NCR1,GULP1,NR4A3,PKIB,KCNH5
3,L1CAM,ALCAM,EPAS1,PHOX2B,DPP10,RTN3,MPEG1,HLA-B,ALK,FN1,CDH5,NRG3,SAT1,PAX5,MRC1,UNC5D,EPAS1,NLGN1,CYP11B2,ADCYAP1,SV2C,CD3G,IMMP2L,COBL,FRMD4B
4,PHOX2B,NCAM1,ACTA2,CHGB,LRRTM4,NCAM1,CD14,DOCK2,CNTN1,PDGFRB,A2M,L1CAM,CD4,CD19,VIM,BNC2,BANK1,ZBTB16,CD33,FRMD4B,CHRM2,CYP11B2,PCDH9,LYVE1,IL7
5,GRIK2,BMPR1B,PDGFRB,KRT19,CD33,MAP1B,A2M,PTPRC,ENO2,VCAN,MCAM,HLA-DRB5,CSF1R,BANK1,HLA-A,SST,IGHG1,NCR3,PDE10A,GULP1,CALCB,PPP2R2C,ALK,FRMD4B,CHGB
6,GATA3,CNTN1,VCAN,MAP1B,ADCYAP1,GRIK2,CD4,IL7R,IL7,EGR1,COL15A1,CD68,HLA-A,CD74,PDLIM1,PKIB,LINGO1,HPGD,DPP10,CREG2,PKIB,CD68,CALN1,MYOM1,SQLE
7,ALCAM,NCAM2,THY1,ADCYAP1,GULP1,TUBB,CSF1R,LEF1,RTN3,THY1,NES,DPYD,DOCK2,IGHG1,FN1,ADCYAP1,THBS1,CLEC4C,LINGO1,NCR1,KCNIP4,CD33,TMEM163,RFX2,AFF3
8,CNTN1,PHOX2B,CRISPLD2,CYP2C9,CREG2,KRT19,SAT1,THEMIS,KCND2,FNDC3B,PALM2AKAP2,HLA-DRB1,INPP5D,HLA-DRA,THBS1,CD68,PCDH9,NCR1,ADCYAP1,PRR16,GULP1,SV2C,CALCA,CYP2B6,PRKCA
9,RTN3,CTNNA2,PDLIM1,ABCC2,PROM1,ZFHX3,HLA-A,INPP5D,SYN3,EPAS1,ADAMTS9,FCGR3A,C1QC,CD40,HLA-B,ABCC2,TGFBR3,ADCYAP1,SYN2,CD3G,FRMD4B,ABCG2,CD68,CD33,CALCA
10,NCAM1,ENO2,FKBP10,GAP43,CALCA,CHGB,RBM47,NFATC2,ALCAM,CRISPLD2,PDLIM1,CD226,ICAM1,DOCK2,EPAS1,CD33,VCAN,DPP10,NRG3,ABCG2,PRKN,PRR16,CCSER1,SEMA3A,CNTN1
11,SYN3,PRPH,PAPSS2,RALYL,SYN2,ACLY,HLA-B,CD2,MAP1B,MMP14,HLA-A,CYP11B2,HLA-B,INPP5D,PLSCR1,MYOM1,CRISPLD2,FRMD4B,ARHGAP36,LYVE1,PPP2R2C,NCR1,MEIS2,CYP11B2,FOXK2
12,TUBB,MAGI2,FNDC3B,LRRTM4,NCR1,PRKCA,INPP5D,CXCR4,PTPRN2,FKBP10,ETS2,TMEM163,RBM47,COL19A1,PDE4B,CALN1,LRRTM4,PROM1,CD3G,CCSER1,LUZP2,L1CAM,SHANK2,NRG3,FAP
13,PRKCA,CHGB,FN1,PKIB,SV2C,GAP43,DOCK2,HLA-C,NCAM1,ACTA2,HLA-B,CD69,CD14,RIPOR2,FNDC3B,CREG2,HLA-DRB5,CYP2B6,GULP1,PCDH9,DPP10,KCNIP4,NCAM1,SHANK2,CD79A
14,ALK,GAP43,MMP14,SV2C,PDE10A,STMN1,SRGN,CD8A,TERT,PALM2AKAP2,WWTR1,MYOM1,NFATC2,RHOH,TGFBR3,NCR1,VIM,KCNH5,PKIB,SEMA3A,PCDH9,DPP10,NAMPT,RCSD1,BACH2
15,ZFHX3,ZFHX3,PALM2AKAP2,KCNIP4,PKIB,PCDH17,NFATC2,RIPOR2,PRKCA,PDLIM1,EMP1,CD33,ITGAX,FCRL1,WWTR1,CRH,PDGFRB,RALYL,CD244,DPP10,CD68,CYP2C9,CD2,LEF1,PROM1
16,PRPH,MAP1B,EGR1,CALCB,FRMD4B,TOP2A,CSF3R,RHOH,PHOX2B,FOS,FNDC3B,CD3G,IL6R,CD83,MEIS2,CYP2B6,CD248,SV2C,HLA-DRB1,PROM1,NRG3,CCSER1,GRIK2,THEMIS,RALYL
17,IL7,LINGO2,SERPINE1,CRH,COBL,ALK,HLA-DRB1,ARHGAP15,ENOX1,PAPSS2,CD74,CD248,KLF6,NFATC2,IL3RA,CD96,CYP2B6,SLC35F3,HLA-DRB5,CD68,SLC35F3,ARHGAP10,RGS7,NFIA,TENM1
18,ACLY,KIF21A,C3,CREG2,IL7,L1CAM,ISG15,CD3D,KIF21A,MCAM,FOSL2,HMGCS1,A2M,MPEG1,FOSL2,GULP1,FCGR3A,NAMPT,BANK1,SHANK2,KIT,TMEM163,CACNA2D3,RIPOR2,CCSER1
19,KRT19,RTN3,SNAI2,COBL,PCDH9,MKI67,PECAM1,CD74,TENM1,EGFR,RGS5,DPP10,PICALM,RCSD1,PVR,RFX2,POTEM,CHRM2,NCR1,CD36,KCNH5,CRH,HMGCS1,AKAP13,MMP16
