gene,pval,qval,log2fc,mean,zero_mean,zero_variance
CD74,3.3279406549895564e-07,9.13903702947132e-07,-0.13867373897430332,7.817169760408127,False,False
HLA-DRA,2.805507522842e-08,8.416522568526e-08,-0.33455922658462856,4.590114290148627,False,False
MPEG1,0.02129986870688199,0.03306110055807335,0.15652553813386286,4.091107909912713,False,False
C1QC,0.33963386418307984,0.39623950821359316,0.06642141958972532,3.9385488531135535,False,False
SAT1,0.12414903814389458,0.16116802406316497,-0.1089231481321495,3.9798935269923943,False,False
CD4,0.00019086751107199625,0.00040559346102799203,-0.2489098026631395,3.2353229288075145,False,False
HLA-A,5.104754573343362e-38,1.401844140525831e-36,-0.8364617000423906,3.774334134515827,False,False
CSF1R,0.008624981735720036,0.014059901733571016,-0.19050243063831931,2.8405086819361873,False,False
CD14,1.2185591655611046e-09,4.394198203083983e-09,0.4551699717041128,2.861187679108917,False,False
INPP5D,2.2721290172003406e-23,2.5348439348141297e-22,-0.6716225205658196,2.765673969527756,False,False
A2M,1.7660471748070885e-05,4.175356565603514e-05,0.3104104546463781,2.928108047036564,False,False
HLA-B,8.841180695259221e-27,1.3151256284198092e-25,-0.7206286329638751,2.9344150754845106,False,False
DOCK2,3.843714839364502e-13,1.9887046342798946e-12,-0.4870552112087758,2.424463275949836,False,False
RBM47,0.023952448652606075,0.036699674544980125,-0.14278825191354516,1.9426500531402113,False,False
VIM,2.1186345562124673e-99,7.563525365678509e-97,-1.4340099170203917,4.169098108034796,False,False
ICAM1,6.140232307231132e-11,2.5196125674500164e-10,-0.43331734013753176,2.0357684187148655,False,False
NFATC2,2.535872616770031e-11,1.0777458621272633e-10,-0.44214125400534987,2.1533197604217404,False,False
IL6R,0.0001390939506917303,0.000300948729678471,-0.22665112005787136,1.5464300539023637,False,False
ITGAX,5.623559911139621e-19,4.780025924468678e-18,-0.5733153455234787,1.569534552306693,False,False
SRGN,4.375856385086598e-23,4.594649204340928e-22,-0.607417785363065,1.621938848615125,False,False
MMP14,0.08831881908011326,0.11898044683622805,-0.10644057856694486,1.6979976222812216,False,False
PECAM1,0.3350099563245086,0.39212640789458875,-0.061463331748001414,1.8912138590282275,False,False
ITGAM,1.770190768090419e-11,7.706806148881459e-11,-0.3788026234323404,1.173420040096318,False,False
CSF3R,0.22474032684232909,0.2739845328177498,-0.06389121083023168,1.051452176033171,False,False
CD83,0.006302175403000677,0.010562801027564515,-0.1850569439640502,1.7318980692820127,False,False
HLA-C,2.7381108488481025e-45,9.775055730387726e-44,-0.8283816111395541,1.4011117618729352,False,False
KLF6,8.440375261611494e-23,8.609182766843724e-22,-0.6569806056019635,2.224074413359647,False,False
MRC1,0.9846493316962432,0.9874152006055024,-0.001037055384702736,1.0375322813372243,False,False
HLA-DRB1,1.4049243621417182e-25,1.929069220325359e-24,-0.5371824785078061,0.9893964171775178,False,False
NLRP3,1.798759643075247e-18,1.4270159835063625e-17,-0.4514216098285579,0.9601504278608375,False,False
KIF16B,0.03466977857766053,0.050725864558298396,-0.10589642545961493,0.9877623062729337,False,False
CD40,1.5546526864353324e-09,5.441284402523664e-09,-0.31879263107545514,1.057276678676887,False,False
FNDC3B,0.0056834361248269466,0.009570691964920849,-0.17003443139383476,1.7170911074881108,False,False
CD81,1.7813932797307845e-16,1.0964782773515345e-15,-0.5484451063648588,2.4913476435361153,False,False
RAB31,2.4995077537131967e-19,2.1764006538429542e-18,-0.46787433012334845,1.0289123002154135,False,False
SAMD4A,0.07273613643649342,0.10064651437142694,0.10998479703592562,1.515843248280902,False,False
PLSCR1,1.6742907730168117e-14,9.339403218234402e-14,-0.4035946104848177,1.075682849348306,False,False
ELL2,0.3244172410235835,0.38349985114377255,-0.04708970971949132,0.821110636369744,False,False
PICALM,5.098909592804026e-11,2.1166403774779502e-10,-0.42550399632618346,2.2396890320816443,False,False
PTPRC,4.127082857973641e-10,1.5727025941343144e-09,-0.33031572665723963,1.0772740438451733,False,False
