"","Geneid","H02","H03","H05","Average"
"1","DEFA3",268611,136467,204172,203083.333333333
"2","MPO",257361,221933,254663,244652.333333333
"3","ELANE",214725,128128,139475,160776
"4","CA1",191067,135287,223531,183295
"5","PRTN3",186398,114083,71766,124082.333333333
"6","AZU1",168929,108695,120598,132740.666666667
"7","CTSG",109676,68351,63440,80489
"8","CXCL12",100861,95381,159782,118674.666666667
"9","S100A12",100430,52768,63982,72393.3333333333
"10","HBB",97690,36640,88035,74121.6666666667
"11","BPI",92558,73513,32445,66172
"12","CD24",62664,50236,34488,49129.3333333333
"13","MMP9",60589,48157,55006,54584
"14","VIM",52979,37195,41218,43797.3333333333
"15","ITGB2",46183,42969,36096,41749.3333333333
"16","FCN1",44853,45409,42325,44195.6666666667
"17","STOM",44572,44845,52455,47290.6666666667
"18","CSF3R",42707,53919,56615,51080.3333333333
"19","CLC",39029,23455,12660,25048
"20","SERPINB1",38431,33965,28500,33632
"21","FTH1",37731,26990,38052,34257.6666666667
"22","MS4A3",36601,29851,20919,29123.6666666667
"23","TFRC",34899,51774,69004,51892.3333333333
"24","GSN",33888,24475,30964,29775.6666666667
"25","ITGAM",32906,40245,35326,36159
"26","CD36",32624,40252,57069,43315
"27","PGLYRP1",31165,21359,22137,24887
"28","CST7",29950,17649,8855,18818
"29","GYPC",29044,19483,30065,26197.3333333333
"30","HLA-DRA",28747,17026,26749,24174
"31","SELL",28317,24823,20911,24683.6666666667
"32","ANK1",26375,30724,44499,33866
"33","IGLC2",25929,13550,23912,21130.3333333333
"34","PTPRC",23299,36927,26169,28798.3333333333
"35","ATP5F1B",22421,18799,21983,21067.6666666667
"36","GYPA",22324,17145,19197,19555.3333333333
"37","CXCR4",21190,18750,17198,19046
"38","TOP2A",21069,24762,25348,23726.3333333333
"39","SPI1",20848,14560,13803,16403.6666666667
"40","SORL1",19457,30888,22978,24441
"41","MKI67",19280,36645,39698,31874.3333333333
"42","VCAM1",19196,19915,35703,24938
"43","PCNA",18894,13729,15723,16115.3333333333
"44","PLEK",18107,16089,19995,18063.6666666667
"45","JCHAIN",17797,11567,12440,13934.6666666667
"46","NFE2",17708,14995,17002,16568.3333333333
"47","AHSP",17399,10196,15534,14376.3333333333
"48","VCAN",17228,34424,25103,25585
"49","APP",16430,18362,20249,18347
"50","SYK",16168,17573,15182,16307.6666666667
"51","IKZF1",15235,19563,18382,17726.6666666667
"52","TGFB1",14430,10217,12450,12365.6666666667
"53","KLF1",14141,9422,14593,12718.6666666667
"54","IL17RA",13990,16559,15621,15390
"55","LEPR",13520,15674,18516,15903.3333333333
"56","PECAM1",13494,11791,13712,12999
"57","HMGA1",13194,9939,13720,12284.3333333333
"58","CD46",12877,20204,18045,17042
"59","MCM4",12493,12530,16345,13789.3333333333
"60","APOE",12380,7830,25785,15331.6666666667
"61","JAK1",12331,15112,15767,14403.3333333333
"62","CD47",11673,15484,12048,13068.3333333333
"63","C1QB",11534,6608,16093,11411.6666666667
"64","ITGB1",11365,12980,17651,13998.6666666667
"65","TAL1",10758,12288,17999,13681.6666666667
"66","HLA-DRB1",10560,7782,10773,9705
"67","CD44",10237,9511,8556,9434.66666666667
"68","IL6R",10168,10898,9102,10056
"69","DHFR",9962,10184,11039,10395
"70","COL1A1",9609,3109,4398,5705.33333333333
"71","DOCK8",9549,13799,11625,11657.6666666667
"72","CEBPD",9434,6578,9643,8551.66666666667
"73","SELENOP",9320,9349,11638,10102.3333333333
"74","PARK7",9290,5295,6113,6899.33333333333
"75","COX4I1",9235,5850,7379,7488
"76","MYBL2",9233,7263,8998,8498
"77","FLI1",9029,9205,8705,8979.66666666667
